Fund,Account #,Ticker,Description,Broker,Transaction Type,Trade Date,Settle Date,Quantity,Commission,Price,Gross $,Commission $,Fees,Net $,Instrument Type,Call/Put,Contract Size,Exp Date,Strike Price,Currency,Transaction Id,TrdSign,SEC Fee,ORF Fee,OCC Fee,Portfolio,,Custodian
wsfTrendli,32500395Trendli.USD,SBUX,Starbucks Corporation,CFR,Sell to Close,07/10/2026,07/13/2026,(81),0.0065,106.2100,8603.01,(0.53),(0.18),8602.30,Common Stock,,,,,USD,c8656b69734de87179cbd1f18c36bc3d_6361e8980168257a5ca7e5f55d65d1f4,(1),(0.18),0.00,0.00,Default,,cant
wsfTrendli,32500395Trendli.USD,VZ,Verizon Communications Inc.,CFR,Short Sell,07/10/2026,07/13/2026,(79),0.0065,42.1300,3328.27,(0.51),(0.07),3327.69,Common Stock,,,,,USD,4fcfe058afbc098b28cd38cf89e77497_6361e8980168257a5ca7e5f55d65d1f4,(1),(0.07),0.00,0.00,Default,,cant
topQuantimentS6Gr41r,065465783QuantimentS6Gr41r.USD,LRCX,Lam Research Corporation,GSPT,Sell to Close,07/10/2026,07/13/2026,(1),0.0100,352.4050,352.40,(0.01),(0.01),352.38,Common Stock,,,,,USD,db9ebf646d8a75da3d4258cf164f591f_75daddc2f2e8e016bec80ce345b00185,(1),(0.01),0.00,0.00,TopWater,,gsco
wsfCompoundersLO,065448128CompoundersLO.USD,LRCX,Lam Research Corporation,GSPT,Sell to Close,07/10/2026,07/13/2026,(1),0.0100,352.4050,352.40,(0.01),(0.01),352.38,Common Stock,,,,,USD,db9ebf646d8a75da3d4258cf164f591f_9544849d94cd73391daf1822dea1cf69,(1),(0.01),0.00,0.00,Default,,gsco
wsfCompoundersLO,065448128CompoundersLO.USD,ADBE,Adobe Inc.,GSPT,Sell to Close,07/10/2026,07/13/2026,(4),0.0100,224.3350,897.34,(0.04),(0.02),897.28,Common Stock,,,,,USD,bb3faa77d650f1f2df54f0a21ed15b72_9544849d94cd73391daf1822dea1cf69,(1),(0.02),0.00,0.00,Default,,gsco
wsfCompoundersLO,065448128CompoundersLO.USD,MRVL,"Marvell Technology, Inc.",GSPT,Sell to Close,07/10/2026,07/13/2026,(4),0.0100,237.0900,948.36,(0.04),(0.02),948.30,Common Stock,,,,,USD,1a2c8e9235fe88f9723e50465719df16_9544849d94cd73391daf1822dea1cf69,(1),(0.02),0.00,0.00,Default,,gsco
wsfTMT,065448128TMT.USD,AAPL,Apple Inc.,GSPT,Buy to Open,07/10/2026,07/13/2026,94,0.0100,314.5043,(29563.40),(0.94),0.00,(29564.34),Common Stock,,,,,USD,5c23f94a22a9658ebed3757760fd2b8d_aaeb43ff07d7bcb3d902bc50e28d72fd,1,0.00,0.00,0.00,Default,,gsco
wsfCompoundersLO,065448128CompoundersLO.USD,AAPL,Apple Inc.,GSPT,Buy to Open,07/10/2026,07/13/2026,3,0.0100,314.5043,(943.51),(0.03),0.00,(943.54),Common Stock,,,,,USD,5c23f94a22a9658ebed3757760fd2b8d_9544849d94cd73391daf1822dea1cf69,1,0.00,0.00,0.00,Default,,gsco
wsfCompoundersV2AIGr,065448128CompoundersV2AIGr.USD,AAPL,Apple Inc.,GSPT,Buy to Open,07/10/2026,07/13/2026,46,0.0100,314.5043,(14467.20),(0.46),0.00,(14467.66),Common Stock,,,,,USD,5c23f94a22a9658ebed3757760fd2b8d_3180773ea06483ef201569b94df6ab6a,1,0.00,0.00,0.00,Default,,gsco
topQuantimentS6Gr41r,065465783QuantimentS6Gr41r.USD,SNX,TD SYNNEX Corporation,GSPT,Sell to Close,07/10/2026,07/13/2026,(2),0.0100,253.4850,506.97,(0.02),(0.02),506.93,Common Stock,,,,,USD,d35ef779aa10a6c66f7a4f274a611721_75daddc2f2e8e016bec80ce345b00185,(1),(0.02),0.00,0.00,TopWater,,gsco
wsfCompoundersLO,065448128CompoundersLO.USD,OXY,Occidental Petroleum Corporation,GSPT,Sell to Close,07/10/2026,07/13/2026,(1),0.0100,52.0163,52.02,(0.01),(0.01),52.00,Common Stock,,,,,USD,9c0221d4c9493438da6970b0c8d716e6_9544849d94cd73391daf1822dea1cf69,(1),(0.01),0.00,0.00,Default,,gsco
wsfCompoundersV2AIGr,065448128CompoundersV2AIGr.USD,OXY,Occidental Petroleum Corporation,GSPT,Sell to Close,07/10/2026,07/13/2026,(575),0.0100,52.0163,29909.37,(5.75),(0.62),29903.00,Common Stock,,,,,USD,9c0221d4c9493438da6970b0c8d716e6_3180773ea06483ef201569b94df6ab6a,(1),(0.62),0.00,0.00,Default,,gsco
topQuantimentS6Gr41r,065465783QuantimentS6Gr41r.USD,GOOD,Gladstone Commercial Corporation,GSPT,Buy to Cover,07/10/2026,07/13/2026,24,0.0100,12.4700,(299.28),(0.24),0.00,(299.52),Common Stock,,,,,USD,b19b9002e1ecbb59fe743f13467f0302_75daddc2f2e8e016bec80ce345b00185,1,0.00,0.00,0.00,TopWater,,gsco
wsfFCMAlpha,065448128FCMAlpha.USD,LOW,"Lowe's Companies, Inc.",PREX,Buy to Cover,07/10/2026,07/13/2026,116,0.0600,212.8924,(24695.52),(6.96),0.00,(24702.48),Common Stock,,,,,USD,e41ec2d4b1c24dbe9b916fcc30a8a14a_4fc362f270110ecc7ae7463f13eed099,1,0.00,0.00,0.00,Default,,gsco
wsfFCMAlpha,065448128FCMAlpha.USD,SMH,VanEck Semiconductor ETF,PREX,Buy to Cover,07/10/2026,07/13/2026,18,0.0600,611.7503,(11011.51),(1.08),0.00,(11012.59),Common Stock,,,,,USD,4fe554dfa5310805ceb3720c2419a88a_4fc362f270110ecc7ae7463f13eed099,1,0.00,0.00,0.00,Default,,gsco
topQuantimentS6Gr41r,065465783QuantimentS6Gr41r.USD,FIZZ,National Beverage Corp.,GSPT,Buy to Cover,07/10/2026,07/13/2026,12,0.0100,33.2559,(399.07),(0.12),0.00,(399.19),Common Stock,,,,,USD,d98dfa33c6b07223e6b563069f888ab5_75daddc2f2e8e016bec80ce345b00185,1,0.00,0.00,0.00,TopWater,,gsco
wsfCompoundersV2AIGr,065448128CompoundersV2AIGr.USD,FIZZ,National Beverage Corp.,GSPT,Buy to Cover,07/10/2026,07/13/2026,210,0.0100,33.2559,(6983.74),(2.10),0.00,(6985.84),Common Stock,,,,,USD,d98dfa33c6b07223e6b563069f888ab5_3180773ea06483ef201569b94df6ab6a,1,0.00,0.00,0.00,Default,,gsco
topQuantimentS6Gr41r,065465783QuantimentS6Gr41r.USD,SHEN,Shenandoah Telecommunications Company,GSPT,Buy to Cover,07/10/2026,07/13/2026,1,0.0100,12.5550,(12.55),(0.01),0.00,(12.56),Common Stock,,,,,USD,0613065c921e6b868c6dd9dc2ede899c_75daddc2f2e8e016bec80ce345b00185,1,0.00,0.00,0.00,TopWater,,gsco
wsfFCMAlpha,065448128FCMAlpha.USD,COST,Costco Wholesale Corporation,PREX,Buy to Cover,07/10/2026,07/13/2026,27,0.0600,915.2319,(24711.26),(1.62),0.00,(24712.88),Common Stock,,,,,USD,246f4f7a154fb700b3b0e9fb6d0a0417_4fc362f270110ecc7ae7463f13eed099,1,0.00,0.00,0.00,Default,,gsco
topQuantimentS6Gr41r,065465783QuantimentS6Gr41r.USD,CVNA,Carvana Co. Class A,GSPT,Sell to Close,07/10/2026,07/13/2026,(3),0.0100,66.7000,200.10,(0.03),(0.01),200.06,Common Stock,,,,,USD,99a78b7753a71aebe4cf44947a805c76_75daddc2f2e8e016bec80ce345b00185,(1),(0.01),0.00,0.00,TopWater,,gsco
topQuantimentS6Gr41r,065465783QuantimentS6Gr41r.USD,WTBA,"West Bancorporation, Inc.",GSPT,Buy to Cover,07/10/2026,07/13/2026,18,0.0100,26.2400,(472.32),(0.18),0.00,(472.50),Common Stock,,,,,USD,4d0a9884197a679c46351932d6a4ce6c_75daddc2f2e8e016bec80ce345b00185,1,0.00,0.00,0.00,TopWater,,gsco
topQuantimentS6Gr41r,065465783QuantimentS6Gr41r.USD,ITT,"ITT, Inc.",GSPT,Sell to Close,07/10/2026,07/13/2026,(3),0.0100,194.9000,584.70,(0.03),(0.02),584.65,Common Stock,,,,,USD,a2f240159b250b2ea39e6190f7566925_75daddc2f2e8e016bec80ce345b00185,(1),(0.02),0.00,0.00,TopWater,,gsco
wsfCompoundersLO,065448128CompoundersLO.USD,GPN,Global Payments Inc.,GSPT,Sell to Close,07/10/2026,07/13/2026,(13),0.0100,75.5600,982.28,(0.13),(0.03),982.12,Common Stock,,,,,USD,09ee6a8206728775347e5d88dd8476ab_9544849d94cd73391daf1822dea1cf69,(1),(0.03),0.00,0.00,Default,,gsco
topQuantimentS6Gr41r,065465783QuantimentS6Gr41r.USD,CFR,"Cullen/Frost Bankers, Inc.",GSPT,Sell to Close,07/10/2026,07/13/2026,(1),0.0100,156.3750,156.38,(0.01),(0.01),156.36,Common Stock,,,,,USD,47e1e670e47465bb1937b1916c7cd1c0_75daddc2f2e8e016bec80ce345b00185,(1),(0.01),0.00,0.00,TopWater,,gsco
topQuantimentS6Gr41r,065465783QuantimentS6Gr41r.USD,CODI,Compass Diversified Holdings,GSPT,Buy to Cover,07/10/2026,07/13/2026,51,0.0100,10.1400,(517.14),(0.51),0.00,(517.65),Common Stock,,,,,USD,ac946e7da3e76f2183ed6a43f9298297_75daddc2f2e8e016bec80ce345b00185,1,0.00,0.00,0.00,TopWater,,gsco
topQuantimentS6Gr41r,065465783QuantimentS6Gr41r.USD,GNW,"Genworth Financial, Inc.",GSPT,Buy to Cover,07/10/2026,07/13/2026,18,0.0100,9.1200,(164.16),(0.18),0.00,(164.34),Common Stock,,,,,USD,0cd00543bc99d047ea469b74fe699888_75daddc2f2e8e016bec80ce345b00185,1,0.00,0.00,0.00,TopWater,,gsco
wsfCompoundersV2,065448128CompoundersV2.USD,FLY,"Firefly Aerospace, Inc.",GSPT,Buy to Cover,07/10/2026,07/13/2026,311,0.0100,24.6207,(7657.04),(3.11),0.00,(7660.15),Common Stock,,,,,USD,0de8ff7a7aa9939b44a7ea5fbfeb4046_c0988a970718c11d2ed9b306d70d45e3,1,0.00,0.00,0.00,Default,,gsco
wsfCompoundersV2AIGr,065448128CompoundersV2AIGr.USD,FLY,"Firefly Aerospace, Inc.",GSPT,Buy to Cover,07/10/2026,07/13/2026,129,0.0100,24.6207,(3176.07),(1.29),0.00,(3177.36),Common Stock,,,,,USD,0de8ff7a7aa9939b44a7ea5fbfeb4046_3180773ea06483ef201569b94df6ab6a,1,0.00,0.00,0.00,Default,,gsco
wsfCompoundersLO,9823_CROS_CompoundersLO.USD,PLTR,Palantir Technologies Inc. Class A,CROS,Buy to Open,07/10/2026,07/10/2026,1,0.0000,126.7900,(126.79),(0.00),0.00,(126.79),Common Stock,,,,,USD,ccf9a8edfc693860b320fb3df65edf94_b1485f54808f911e5efffe5d76db4c33,1,0.00,0.00,0.00,Default,,cros
topQuantimentS6Gr41r,065465783QuantimentS6Gr41r.USD,VLO,Valero Energy Corporation,GSPT,Sell to Close,07/10/2026,07/13/2026,(1),0.0100,276.3750,276.38,(0.01),(0.01),276.36,Common Stock,,,,,USD,8bf4b51de3d491cd53bf9feb2f35c86c_75daddc2f2e8e016bec80ce345b00185,(1),(0.01),0.00,0.00,TopWater,,gsco
topQuantimentS6Gr41r,065465783QuantimentS6Gr41r.USD,AJG,Arthur J. Gallagher & Co.,GSPT,Buy to Open,07/10/2026,07/13/2026,1,0.0100,252.4500,(252.45),(0.01),0.00,(252.46),Common Stock,,,,,USD,33d53a4ec4cddbf613e8fa78382e5b8a_75daddc2f2e8e016bec80ce345b00185,1,0.00,0.00,0.00,TopWater,,gsco
wsfTrendli,32500395Trendli.USD,CARR,Carrier Global Corp.,CFR,Buy to Open,07/10/2026,07/13/2026,3327,0.0065,70.2987,(233883.77),(21.63),0.00,(233905.40),Common Stock,,,,,USD,16910b8678bc8717617714378a8b4cb7_6361e8980168257a5ca7e5f55d65d1f4,1,0.00,0.00,0.00,Default,,cant
wsfFCMAlpha,065448128FCMAlpha.USD,PYPL,"PayPal Holdings, Inc.",PREX,Sell to Close,07/10/2026,07/13/2026,(316),0.0500,46.1392,14579.99,(15.80),(0.31),14563.88,Common Stock,,,,,USD,f3b7e19d97c29001f03677502da74f32_4fc362f270110ecc7ae7463f13eed099,(1),(0.31),0.00,0.00,Default,,gsco
wsfTrendli,32500395Trendli.USD,PM,Philip Morris International Inc.,CFR,Sell to Close,07/10/2026,07/13/2026,(1252),0.0065,179.5679,224819.01,(8.14),(4.64),224806.23,Common Stock,,,,,USD,4cfa964245034664671383ac0d4f39d4_6361e8980168257a5ca7e5f55d65d1f4,(1),(4.64),0.00,0.00,Default,,cant
topTrendli,065465783Trendli.USD,CI,Cigna Group,GSPT,Buy to Open,07/10/2026,07/13/2026,1,0.0100,290.8600,(290.86),(0.01),0.00,(290.87),Common Stock,,,,,USD,4a804f3bb75925e689375e5587e1ca0d_24d570c6fac752d3882c3c281bb5641b,1,0.00,0.00,0.00,TopWater,,gsco
topQuantimentS6Gr41r,065465783QuantimentS6Gr41r.USD,WLFC,Willis Lease Finance Corporation,GSPT,Buy to Cover,07/10/2026,07/13/2026,2,0.0100,222.3900,(444.78),(0.02),0.00,(444.80),Common Stock,,,,,USD,41c16f7ebe8bc73aff4380f2a637d132_75daddc2f2e8e016bec80ce345b00185,1,0.00,0.00,0.00,TopWater,,gsco
topQuantimentS6Gr41r,065465783QuantimentS6Gr41r.USD,PLTR,Palantir Technologies Inc. Class A,GSPT,Buy to Open,07/10/2026,07/13/2026,1,0.0100,127.5150,(127.52),(0.01),0.00,(127.53),Common Stock,,,,,USD,c0b4141bf703aa6c3a9e3f14d6046333_75daddc2f2e8e016bec80ce345b00185,1,0.00,0.00,0.00,TopWater,,gsco
topQuantimentS6Gr41r,065465783QuantimentS6Gr41r.USD,ICUI,"ICU Medical, Inc.",GSPT,Buy to Cover,07/10/2026,07/13/2026,3,0.0100,154.5100,(463.53),(0.03),0.00,(463.56),Common Stock,,,,,USD,39adbbee2c6e221cf3537f5ef2eefb8a_75daddc2f2e8e016bec80ce345b00185,1,0.00,0.00,0.00,TopWater,,gsco
wsfTrendli,32500395Trendli.USD,IDXX,"IDEXX Laboratories, Inc.",CFR,Sell to Close,07/10/2026,07/13/2026,(5),0.0065,568.6100,2843.05,(0.03),(0.06),2842.96,Common Stock,,,,,USD,97c309f09c4b516e379240f78bcb325f_6361e8980168257a5ca7e5f55d65d1f4,(1),(0.06),0.00,0.00,Default,,cant
wsfCompoundersLO,065448128CompoundersLO.USD,MDLN,"Medline, Inc. Class A",GSPT,Sell to Close,07/10/2026,07/13/2026,(23),0.0100,40.9500,941.85,(0.23),(0.02),941.60,Common Stock,,,,,USD,b0e462418a3d668252e9557317d4dd9f_9544849d94cd73391daf1822dea1cf69,(1),(0.02),0.00,0.00,Default,,gsco
wsfCompoundersLO,065448128CompoundersLO.USD,DKNG,"DraftKings, Inc. Class A",GSPT,Buy to Open,07/10/2026,07/13/2026,37,0.0100,26.4005,(976.82),(0.37),0.00,(977.19),Common Stock,,,,,USD,abfe053fd0ad68afe8f4c8ca93e83bae_9544849d94cd73391daf1822dea1cf69,1,0.00,0.00,0.00,Default,,gsco
wsfCompoundersV2AIGr,065448128CompoundersV2AIGr.USD,DKNG,"DraftKings, Inc. Class A",GSPT,Buy to Open,07/10/2026,07/13/2026,1592,0.0100,26.4005,(42029.60),(15.92),0.00,(42045.52),Common Stock,,,,,USD,abfe053fd0ad68afe8f4c8ca93e83bae_3180773ea06483ef201569b94df6ab6a,1,0.00,0.00,0.00,Default,,gsco
wsfCompoundersLO,065448128CompoundersLO.USD,GOOGL,Alphabet Inc. Class A,GSPT,Sell to Close,07/10/2026,07/13/2026,(2),0.0100,355.8800,711.76,(0.02),(0.02),711.72,Common Stock,,,,,USD,31dea342bcd311c4c060e6b702f3be64_9544849d94cd73391daf1822dea1cf69,(1),(0.02),0.00,0.00,Default,,gsco
topQuantimentS6Gr41r,065465783QuantimentS6Gr41r.USD,JBSS,"John B. Sanfilippo & Son, Inc.",GSPT,Buy to Cover,07/10/2026,07/13/2026,5,0.0100,87.2300,(436.15),(0.05),0.00,(436.20),Common Stock,,,,,USD,6b9c2d806b892aff5a2ff5abb3b83cad_75daddc2f2e8e016bec80ce345b00185,1,0.00,0.00,0.00,TopWater,,gsco
wsfAndrewCarlson,32500395AndrewCarlson.USD,FRMI,Fermi Inc.,CFR,Buy to Open,07/10/2026,07/13/2026,6710,0.0065,6.4050,(42977.55),(43.61),0.00,(43021.17),Common Stock,,,,,USD,8b4e1596774308a09519218a2d27c007_ec7c5712f237017d326bc98bd6976cb1,1,0.00,0.00,0.00,Default,,cant
wsfCompoundersLO,065448128CompoundersLO.USD,FTI,TechnipFMC plc,GSPT,Sell to Close,07/10/2026,07/13/2026,(15),0.0100,70.8250,1062.38,(0.15),(0.03),1062.19,Common Stock,,,,,USD,8fff29a2ae8a5e7ee64cb9f26cf52be2_9544849d94cd73391daf1822dea1cf69,(1),(0.03),0.00,0.00,Default,,gsco
topQuantimentS6Gr41r,065465783QuantimentS6Gr41r.USD,FDX,FedEx Corporation,GSPT,Sell to Close,07/10/2026,07/13/2026,(1),0.0100,314.8900,314.89,(0.01),(0.01),314.87,Common Stock,,,,,USD,de0aa475ac55318e29fe34c14a497c9f_75daddc2f2e8e016bec80ce345b00185,(1),(0.01),0.00,0.00,TopWater,,gsco
topQuantimentS6Gr41r,065465783QuantimentS6Gr41r.USD,LUNR,"Intuitive Machines, Inc. Class A",GSPT,Short Sell,07/10/2026,07/13/2026,(8),0.0100,16.1703,129.36,(0.08),(0.01),129.27,Common Stock,,,,,USD,38e4286a661c2f5e63a1b852025272fb_75daddc2f2e8e016bec80ce345b00185,(1),(0.01),0.00,0.00,TopWater,,gsco
wsfCompoundersV2AIGr,065448128CompoundersV2AIGr.USD,LUNR,"Intuitive Machines, Inc. Class A",GSPT,Short Sell,07/10/2026,07/13/2026,(783),0.0100,16.1703,12661.34,(7.83),(0.27),12653.24,Common Stock,,,,,USD,38e4286a661c2f5e63a1b852025272fb_3180773ea06483ef201569b94df6ab6a,(1),(0.27),0.00,0.00,Default,,gsco
wsfCompoundersLO,065448128CompoundersLO.USD,TSCO,Tractor Supply Company,GSPT,Sell to Close,07/10/2026,07/13/2026,(33),0.0100,30.3250,1000.73,(0.33),(0.03),1000.37,Common Stock,,,,,USD,fc0137d54b3be8e131eb02e2862e123e_9544849d94cd73391daf1822dea1cf69,(1),(0.03),0.00,0.00,Default,,gsco
topTrendli,065465783Trendli.USD,PM,Philip Morris International Inc.,CROS,Sell to Close,07/10/2026,07/10/2026,(2),0.0000,181.6200,363.24,(0.00),0.00,363.24,Common Stock,,,,,USD,33d499d7472063ca6d96802244dea97f_24d570c6fac752d3882c3c281bb5641b,(1),0.00,0.00,0.00,TopWater,,gsco
wsfFCMAlpha,065448128FCMAlpha.USD,SQQQ,ProShares UltraPro Short QQQ,PREX,Buy to Cover,07/10/2026,07/13/2026,133,0.0500,37.7677,(5023.10),(6.65),0.00,(5029.75),Common Stock,,,,,USD,56e179dd279731374cbef84b8f6a111d_4fc362f270110ecc7ae7463f13eed099,1,0.00,0.00,0.00,Default,,gsco
topQuantimentS6Gr41r,065465783QuantimentS6Gr41r.USD,ENR,"Energizer Holdings, Inc.",GSPT,Buy to Cover,07/10/2026,07/13/2026,10,0.0100,20.6200,(206.20),(0.10),0.00,(206.30),Common Stock,,,,,USD,2ec598031a324e61878561abf3204768_75daddc2f2e8e016bec80ce345b00185,1,0.00,0.00,0.00,TopWater,,gsco
topQuantimentS6Gr41r,065465783QuantimentS6Gr41r.USD,LBTYA,Liberty Global Ltd. Class A,GSPT,Buy to Cover,07/10/2026,07/13/2026,22,0.0100,10.5059,(231.13),(0.22),0.00,(231.35),Common Stock,,,,,USD,238891956e2f68417137ac448cc6e328_75daddc2f2e8e016bec80ce345b00185,1,0.00,0.00,0.00,TopWater,,gsco
wsfCompoundersV2AIGr,9823_CROS_CompoundersV2AIGr.USD,AVO,"Mission Produce, Inc.",CROS,Buy to Cover,07/10/2026,07/10/2026,940,0.0000,13.3300,(12530.20),(0.00),0.00,(12530.20),Common Stock,,,,,USD,a1bd377afb8b82e70e5d47c779344507_c0b76638d970af94b23906f374bbfcd6,1,0.00,0.00,0.00,Default,,cros
topQuantimentS6Gr41r,065465783QuantimentS6Gr41r.USD,TOST,"Toast, Inc. Class A",GSPT,Sell to Close,07/10/2026,07/13/2026,(6),0.0100,29.1850,175.11,(0.06),(0.01),175.04,Common Stock,,,,,USD,f8eedc852a7f55f96c2d1b0a7be17801_75daddc2f2e8e016bec80ce345b00185,(1),(0.01),0.00,0.00,TopWater,,gsco
wsfCompoundersLO,065448128CompoundersLO.USD,PM,Philip Morris International Inc.,GSPT,Buy to Open,07/10/2026,07/13/2026,5,0.0100,179.3400,(896.70),(0.05),0.00,(896.75),Common Stock,,,,,USD,506db5cbe5a386b416e2a6e3e19145c4_9544849d94cd73391daf1822dea1cf69,1,0.00,0.00,0.00,Default,,gsco
topQuantimentS6Gr41r,065465783QuantimentS6Gr41r.USD,HOOD,"Robinhood Markets, Inc. Class A",GSPT,Sell to Close,07/10/2026,07/13/2026,(2),0.0100,113.4700,226.94,(0.02),(0.01),226.91,Common Stock,,,,,USD,5fdf335e73f8309ff7236ae20e7234e4_75daddc2f2e8e016bec80ce345b00185,(1),(0.01),0.00,0.00,TopWater,,gsco
